title,company,technologies
Senior Python Developer,Quantum,"['Python', 'UAV', 'GPS', 'GEO', 'PX4', 'Ardupilot']"
Senior Python Developer with AWS experience,Intetics,"['Python', 'AWS']"
Python Engineer,Yael Acceptic,"['Python', 'Django', 'AWS', 'Flask', 'SQL']"
Senior Software Engineer,Sombra,"['Python', 'Go']"
Python Developer,Zakaz.ua,"['Python3', 'aiohttp', 'GitlabCI/CD', 'web', 'API']"
Python developer,Yalantis,['Англійська:Upper-Intermediate']
Python Engineer,NONAME DIGITAL,"['Python', 'OpenCV', 'JSOUP']"
Senior Python Engineer                                    4000-7000,Lumen Global,"['Python', 'API', 'Linux', 'Agile', 'Scrum']"
Senior Python Backend Engineer (non-web development),Unit Group,['Англійська:Upper-Intermediate']
crawling/scraping expert in python and/or node.js,Competitoor,"['WebScrapping', 'DataScraping&Processing']"
Software Engineer - Python,Codify,"['Python', 'CI/CD', 'Docker']"
Team Leader- Python,Codify,"['AdvancedEnglish', 'REST', 'API', 'Python']"
Python developer for real time video analytics system,Transfotech,['Англійська:Advanced/Fluent']
Python Developer for EdTech company,Projector,['3рокидосвіду']
Senior Full-Stack Engineer (Python+React),8allocate,"['Python', 'Python/Django', 'Django', 'FastAPI', 'Flask', 'React.js', 'GCP']"
Senior Full-Stack Engineer (Python + React),Growth Channel,"['Python/Django', 'React']"
We are looking for an experienced Senior Python Developer,United Ideas Solutions,['Англійська:Upper-Intermediate']
Junior Backend Engineer,Roches Noires Ventures,"['PostgreSQL', 'FastAPI', 'Django/Flask/Aiohttp/FastApi']"
Senior Full-Stack Engineer (Python + React),8allocate,"['Python', 'Python/Django', 'React.js', 'Azure']"
Senior Python Engineer,PLANEKS,"['Python', 'Selenium']"
Розробник Odoo/Python,Arixess,['2рокидосвіду']
Quality Assurance Architect (Networking),PLVision,"['Architect', 'Python', 'Pytest', 'Linux', 'Networking', 'automation', 'L2/L3']"
Python developer,Arixess,['Англійська:Pre-Intermediate']
"Middle Fullstack Software Developer (Python, React)/ AI Enthusiast",Forex Tester Software Inc,['Англійська:Intermediate']
Middle/Senior Python Developer (Fast API)                                    2500-4000,ArchiCGI,['FastAPI']
Senior Full-Stack Engineer,8allocate,"['Python', 'React', 'AWS/Azure/GCP', 'FullStack']"
Middle Python developer,Northell,['Англійська:Upper-Intermediate']
Senior Python developer                                    3000-4500,Piligrim IT,"['Python', 'React/Redux/Next.js']"
Middle+ Python developer,Syntech Software,"['Python', 'Django', 'DjangoRestFramework', 'Unix']"
Backend Developer,JOIDY,"['Python', 'Django', 'AWSSQS', 'Golang']"
Middle Python developer,Укренерго цифрові рішення / Ukrenergo digital solutions,"['Flask', 'FastAPI', 'Django', 'PostgreSQL', 'SQL', 'PL/SQL']"
Senior Python Developer,Embedd,"['Python', 'ETL', 'PostgreSQL', 'regularexpresions', 'REXEP', 'Docker']"
Middle Python Engineer (experience with Selenium),PLANEKS,"['Python', 'Unittesting', 'Selenium']"
Senior Full-Stack Engineer (Vue or React + Python),Ralabs,"['Python/Django', 'Python', 'React', 'Vue', 'Celery', 'Django', 'SQL']"
Senior Python Backend Engineer (non-web development),MoveUp Recruitment agency,['Англійська:Upper-Intermediate']
Senior Back-End developer,JOIDY,"['Python', 'Django', 'Go', 'AWS']"
Python Developer,:DTeam,['Англійська:Intermediate']
Senior+/Lead Python Developer,ITernal Group,"['Python', 'FastAPI', 'RESTAPI', 'AWS']"
Middle Python Developer,Geniusee,['Англійська:Upper-Intermediate']
Back-End — Python / Stock options at the startup                                    1000-4000,Custom Item,"['AWS', 'CI/CD', 'SQL', 'NoSQL', 'REST', 'Cache(redis)', 'RabbitMQ']"
Python Developer (MLOps \ Automation Engineering),GlobalLogic,"['Python', 'GoogleCloud', 'GCP', 'BigQuery']"
Middle data engineer (python),TheWhyKingz,['Англійська:Pre-Intermediate']
Back-End Engineer                                    1200-3500,inDev,"['Python', 'Go', 'gRPC', 'jitsi/jibri', 'ejabberd']"
Python/Django Engineer,Intobi,"['Python', 'Django', 'Docker', 'React']"
Mid/ Sen Python Developer                                    4000-5500,LINNU,"['Python', 'SQL', 'ArtificialIntelligence']"
Tech Lead (Python),MEGOGO,['5роківдосвіду']
Data Engineer,Virtuace,"['Python', 'ETL', 'AWSS3/EC2', 'Linux', 'NoSQL']"
Python developer,Simloud,"['Python', 'Flask', 'Django', 'AWS']"
Python/Django Developer,Dataforest,"['Python', 'Python/Django', 'Django', 'SQL', 'AWS', 'Elasticsearch']"
Senior Python developer,Wise Engineering,"['Python', 'Django', 'MongoDB', 'AWS', 'GraphQL', 'ReactJS', 'TypeScript']"
Fullstack developer (React+Python),Starnavi,['Англійська:Upper-Intermediate']
"Senior Python Developer with AWS - work from Toronto, for candidates who are in Canada already",Luxoft,"['AWS', 'Terraform']"
Python Developer,ELVTR,['Англійська:Upper-Intermediate']
Full Stack Developer,Peppernode,"['Django', 'Python', 'React', 'JavaScript', 'AWS', 'Docker/DockerCompose']"
Python Developer,Cleveroad,['Англійська:Upper-Intermediate']
Python Voice Application Developer (Senior/Middle)                                від 2500,PERETZz.AGENCY,"['Python', 'DockerSwarm', 'Cloud', 'Linux']"
Python Developer,bymdev,"['Python3', 'Python', 'aiohttp']"
Frontend  Python developer,A.V.A. LTD,['Англійська:Intermediate']
Middle Python Engineer,ITExpert,"['python', 'fastapi', 'drf', 'flask']"
Senior Python Engineer,ITExpert,"['python', 'astapi', 'drf', 'flask', 'ML']"
Full-Stack Developer (Python+Angular),JOIDY,"['Python', 'Angular']"
Python Developer (GPT + Llama-Index/Langchain)                                    3000-5000,Lumiere Tech,"['Python', 'ChatGPT', 'langchain', 'llama-index', 'machinelearning', 'DataScience/MachineLearning']"
Python Engineer,Intobi,"['Python', 'Python/Django', 'React']"
Junior Backend Developer (Python + Django),Devsteam.cloud,"['Python', 'Backenddevelopment', 'Django']"
"Full Stack Engineer with proven skills in Python, SQL, and Javascript                                    2500-3200",Codemotion,['Англійська:Advanced/Fluent']
Data Engineer / ETL developer (DB/BI)                                    2000-3000,LvivSoft,"['ETL', 'Python', 'Docker']"
